ID,Grade,Skill Title,Description,CSTA,Num Dependencies,Internal Deps,External Deps,All Dependencies
T01.G2.02,G2,"Use ""repeat"" to make directions shorter","**Student task:** Look at two sets of directions. Pick the one that uses ""repeat ___ times"" to say the same thing in fewer words. **Example:** ""Walk 3 steps, walk 3 steps, walk 3 steps"" vs ""Repeat 'walk 3 steps' 3 times"" _Implementation note: MCQ (long explicit vs ""repeat"" version). CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03.__","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",1,1,0,* T01.G2.01: Find actions that repeat in everyday tasks
T01.G2.03,G2,Replace repeated steps with a repeat instruction,"**Student task:** Look at a long list of repeated steps. Rewrite it using ""repeat ___ times"" to make it shorter and clearer. **Example:** ""Clap, clap, clap, clap"" becomes ""Repeat 'clap' 4 times"" _Implementation note: Choose or assemble compressed description with ""repeat."" CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03.__","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",1,1,0,"* T01.G2.02: Use ""repeat"" to make directions shorter"
T01.G2.04,G2,Match if/then rules to pictures,"Students match simple “If it is ___, then do ___” rules to images (rainy/sunny, door open/closed). _Implementation note: Visual MCQ. CSTA: E2‑ALG‑AF‑01._",E2‑ALG‑AF‑01,1,1,0,"* T01.G1.10: Match pictures to ""if/then"" rules"
T01.G2.05,G2,Complete a simple if/then algorithm,Students fill in missing condition or action in an if/then pair for a daily scenario. _Implementation note: Fill‑in with picture or word cards. CSTA: E2‑ALG‑AF‑01._,E2‑ALG‑AF‑01,1,1,0,* T01.G2.04: Match if/then rules to pictures
T01.G2.06,G2,Choose the best if/then rule for a situation,Students choose which of several if/then statements fits a picture story. _Implementation note: MCQ; auto‑graded. CSTA: E2‑ALG‑AF‑01._,E2‑ALG‑AF‑01,1,1,0,* T01.G2.05: Complete a simple if/then algorithm
T01.G2.07,G2,Trace an algorithm that uses an if/then choice,"Students follow short number/picture algorithms with if/then and identify the final result. _Implementation note: Tracing + MCQ result. CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03._","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",1,1,0,* T01.G2.06: Choose the best if/then rule for a situation
T01.G2.08,G2,"Trace an algorithm that uses ""repeat ___ times""","Students compute total actions or final position for routines with ""repeat 3 times."" _Implementation note: Tracing + MCQ. CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03._","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",1,1,0,* T01.G2.03: Replace repeated steps with a repeat instruction
T01.G2.09,G2,Fix a wrong repeat count in an algorithm,"Students adjust a repeat count that causes too many or too few repetitions. _Implementation note: Increase/decrease repeat number; auto‑graded via final outcome. CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03._","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",1,1,0,"* T01.G2.08: Trace an algorithm that uses ""repeat ___ times"""
T01.G2.10,G2,Fix a wrong or missing if/then branch,Students correct an if/then rule that doesn't match a picture situation. _Implementation note: MCQ or card swap. CSTA: E2‑ALG‑AF‑01._,E2‑ALG‑AF‑01,1,1,0,* T01.G2.07: Trace an algorithm that uses an if/then choice
T01.G2.11,G2,Trace maze directions on a simple grid,"Students see a character on a small grid and a sequence of ""forward/left/right"" arrows, then choose where the character ends up. _Implementation note: Path tracing with MCQ final position; auto‑graded by ending cell. CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03._","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",0,0,0,
T01.G2.12,G2,Choose directions that reach the goal,"Students see a start and goal on a grid and pick which of several arrow sequences reaches the goal without hitting a wall. _Implementation note: MCQ (choose arrow sequence); auto‑graded via simulation. CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03._","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",1,1,0,* T01.G2.11: Trace maze directions on a simple grid
T01.G2.13,G2,Write directions to navigate a simple grid,"Students create instructions by dragging and dropping “forward/left/right” arrow cards to move a character from start to finish. _Implementation note: Drag arrow cards; auto‑graded via simulation. CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03._","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",1,1,0,* T01.G2.12: Choose directions that reach the goal
T01.G2.14,G2,Fix maze directions that miss the goal,"Students correct a set of directions that doesn't reach the goal or hits a wall. _Implementation note: Edit arrow sequence; auto‑graded via new simulation. CSTA: E2‑ALG‑AF‑01, E2‑ALG‑PS‑03._","E2‑ALG‑AF‑01, E2‑ALG‑PS‑03",1,1,0,* T01.G2.13: Write directions to navigate a simple grid
T01.G2.15,G2,Match picture instructions to visual block commands,"Students match simple picture‑based instruction sequences (e.g., arrow cards showing ""forward, forward, turn right"") to equivalent visual block‑based commands (e.g., blocks showing ""move forward,"" ""move forward,"" ""turn right""), recognizing that pictures and blocks can represent the same algorithm with the same outcome. _Implementation note: Drag‑and‑drop matching with 3–4 sequence pairs; auto‑graded. Focus on 1‑to‑1 correspondence between picture symbols and block icons. CSTA: E2‑ALG‑AF‑01._",E2‑ALG‑AF‑01,1,1,0,* T01.G2.13: Write directions to navigate a simple grid
T01.G3.01,G3,Complete a simple script with missing blocks,"**Student task:** Look at a script that's almost finished. Add 1 or 2 missing blocks to make it work. **Context:** Start with a mostly built project. Script should do 3-5 simple actions. _Implementation note: Guided coding in a starter project (mostly pre‑built); auto‑graded via final behavior. CSTA: E3‑ALG‑AF‑01, E3‑PRO‑PF‑01.__","E3‑ALG‑AF‑01, E3‑PRO‑PF‑01",1,0,1,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence
T01.G3.02,G3,Match a story description to a code sequence,"Students choose which of several scripts matches a natural‑language description. _Implementation note: MCQ, code snippets. CSTA: E3‑ALG‑AF‑01, E3‑ALG‑PS‑03._","E3‑ALG‑AF‑01, E3‑ALG‑PS‑03",1,0,1,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence
T01.G3.03,G3,Identify repeated blocks in a script (no loops),"Students highlight which blocks repeat in a short script from a familiar, simple project (e.g., sprite drawing a square, character performing a dance, robot moving in a pattern). The project should have a clear, visual goal that students can understand before examining the code. _Implementation note: Highlight or click region in code; project examples include geometric drawing, simple animation, basic movement patterns. CSTA: E3‑ALG‑AF‑01._",E3‑ALG‑AF‑01,2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T04.G2.01: Identify the repeating unit in a longer pattern
T01.G3.04,G3,Predict how many times repeated blocks run,"Students count how many times an action happens based on repeated blocks (e.g., 4× `move 10`) in a concrete behavior (like a character walking), connecting T04's abstract repeat units to meaningful movement or actions. _Implementation note: MCQ; auto‑graded. CSTA: E3‑ALG‑AF‑01._",E3‑ALG‑AF‑01,2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T04.G2.01: Identify the repeating unit in a longer pattern
T01.G3.05,G3,Replace repeated blocks with a repeat loop,"Students refactor repeated blocks into a `repeat` loop with the correct count in a small project script, using loop patterns first explored in T04.G3.01–G3.02 to improve a real algorithm. _Implementation note: Coding refactor; auto‑graded by structure + behavior. CSTA: E3‑ALG‑AF‑01, E3‑PRO‑PF‑01._","E3‑ALG‑AF‑01, E3‑PRO‑PF‑01",1,0,1,* T04.G3.01: Identify where a loop could replace repeated blocks
T01.G3.06,G3,Trace a repeat loop to find total movement,Students trace a script with a `repeat` loop to determine how far a sprite moves or how many actions occur. _Implementation note: Tracing + MCQ. CSTA: E3‑ALG‑AF‑01._,E3‑ALG‑AF‑01,2,0,2,"* T04.G3.02: Match a ""repeat N"" loop to repeated behavior | * T07.G3.01: Use a counted repeat loop"
T01.G3.07,G3,Adjust a repeat count to match a pattern,"Students change the repeat number so a pattern (e.g., a square, a full spin) completes exactly. _Implementation note: Edit loop count; auto‑graded via final orientation/pattern. CSTA: E3‑ALG‑AF‑01, E3‑PRO‑PF‑01._","E3‑ALG‑AF‑01, E3‑PRO‑PF‑01",2,0,2,"* T04.G3.02: Match a ""repeat N"" loop to repeated behavior | * T07.G3.01: Use a counted repeat loop"
T01.G3.08,G3,Add a simple if/then to a script,"Students insert an `if touching [color/sprite]` block to trigger an action. _Implementation note: Coding, scaffolded; auto‑graded by behavior. CSTA: E3‑ALG‑AF‑01, E3‑PRO‑PF‑01._","E3‑ALG‑AF‑01, E3‑PRO‑PF‑01",1,0,1,* T08.G3.01: Use a simple if in a script
T01.G3.09,G3,Match an if/then script to a behavior description,"Students pick which script with if/then matches a described behavior (""When you touch the goal, say 'Yay!'.""). _Implementation note: MCQ; auto‑graded. CSTA: E3‑ALG‑AF‑01._",E3‑ALG‑AF‑01,1,0,1,* T08.G3.01: Use a simple if in a script
T01.G3.10,G3,Trace a script with a single if/then,"Students predict whether the if/then block will run in a given situation. _Implementation note: Tracing scenario + MCQ. CSTA: E3‑ALG‑AF‑01, E3‑ALG‑PS‑03._","E3‑ALG‑AF‑01, E3‑ALG‑PS‑03",1,0,1,* T08.G3.01: Use a simple if in a script
T01.G3.11,G3,Explain in words what a short program does,"Students select or write a one‑sentence description of a short script's algorithm. _Implementation note: Code‑reading MCQ/short answer. CSTA: E3‑ALG‑AF‑01, E3‑ALG‑PS‑03._","E3‑ALG‑AF‑01, E3‑ALG‑PS‑03",1,0,1,* T07.G3.02: Trace a script with a simple loop
T01.G3.12,G3,Predict the final state of a simple algorithm,Students trace a script (possibly with a loop) to predict final position or direction. _Implementation note: Grid/orientation MCQ. CSTA: E3‑ALG‑AF‑01._,E3‑ALG‑AF‑01,1,0,1,* T14.G3.01: Move a sprite with arrow keys (4 directions)
T01.G3.13,G3,Debug a program with steps in the wrong order,"Students rearrange blocks in a sequence script to match a given intended behavior. _Implementation note: Coding re‑order; auto‑graded via behavior. CSTA: E3‑ALG‑AF‑01, E3‑PRO‑TR‑03._","E3‑ALG‑AF‑01, E3‑PRO‑TR‑03",1,0,1,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence
T01.G3.14,G3,Debug a loop that repeats the wrong number of times,"Students fix a `repeat` loop that runs too many or too few times by adjusting the loop count so the behavior matches the description. _Implementation note: Coding edit (loop count); auto‑graded via final behavior. CSTA: E3‑ALG‑AF‑01, E3‑PRO‑TR‑03._","E3‑ALG‑AF‑01, E3‑PRO‑TR‑03",1,0,1,* T07.G3.01: Use a counted repeat loop
T01.G3.15,G3,Debug an if/then that doesn't trigger when it should,"Students fix a simple if/then condition so an action (like saying ""Yay!"" at the goal) happens at the right time. _Implementation note: Coding edits; auto‑graded with multiple tests. CSTA: E3‑ALG‑AF‑01, E3‑PRO‑TR‑03._","E3‑ALG‑AF‑01, E3‑PRO‑TR‑03",1,0,1,* T08.G3.01: Use a simple if in a script
T01.G4.01,G4,Plan steps for a coded maze or goal‑reach task,"Students write numbered steps in words for ""reach the flag without touching red walls."" _Implementation note: Arrange/choose steps. CSTA: E4‑ALG‑AF‑01._",E4‑ALG‑AF‑01,0,0,0,
T01.G4.02,G4,Implement a written plan in code,"Students turn a given plan into a CreatiCode script and test it. _Implementation note: Coding; auto‑grading checks match between plan and behavior. CSTA: E4‑ALG‑AF‑01, E4‑PRO‑PF‑01._","E4‑ALG‑AF‑01, E4‑PRO‑PF‑01",2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T08.G3.01: Use a simple if in a script
T01.G4.03,G4,Identify repeated patterns in longer scripts,Students highlight repeated sequences (not just single blocks) in longer scripts. _Implementation note: Highlight blocks; auto‑grading checks region. CSTA: E4‑ALG‑AF‑01._,E4‑ALG‑AF‑01,3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T08.G3.01: Use a simple if in a script
T01.G4.04,G4,Replace repeated patterns with loops,"Students refactor repeated patterns into loops that contain multiple blocks. _Implementation note: Coding refactor; auto‑graded by behavior & fewer blocks. CSTA: E4‑ALG‑AF‑01, E4‑ALG‑PS‑03._","E4‑ALG‑AF‑01, E4‑ALG‑PS‑03",1,0,1,* T07.G3.01: Use a counted repeat loop
T01.G4.05,G4,Compare two versions of a script: with and without loops,"Students compare a long ""no loops"" script and a shorter ""with loops"" version and choose which is better and why. _Implementation note: Side‑by‑side code comparison with MCQ explanation. CSTA: E4‑ALG‑IM‑04._",E4‑ALG‑IM‑04,3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T08.G3.01: Use a simple if in a script
T01.G4.06,G4,Recognize variables in a program,Students identify which names in a script are variables and what they store. _Implementation note: Code‑reading MCQ/highlight. CSTA: E4‑PRO‑DH‑02._,E4‑PRO‑DH‑02,3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T08.G3.01: Use a simple if in a script | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G4.07,G4,Trace a simple counter variable,"Students follow a script that initializes a variable and increments it in a loop, then predict its final value. _Implementation note: Tracing + MCQ. CSTA: E4‑ALG‑AF‑01, E4‑PRO‑DH‑02._","E4‑ALG‑AF‑01, E4‑PRO‑DH‑02",3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G4.08,G4,Add a variable to count events in a program,"Students add a variable (e.g., `steps`, `coins`) and increment it at the right place in an existing script. _Implementation note: Coding; auto‑grading checks updates and display. CSTA: E4‑ALG‑AF‑01, E4‑PRO‑DH‑02._","E4‑ALG‑AF‑01, E4‑PRO‑DH‑02",3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T08.G3.01: Use a simple if in a script | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G4.09,G4,Use a variable to track a simple game state (lives or points),"Students extend a game to use a variable for lives or points, decreasing or increasing it based on events. _Implementation note: Coding; auto‑graded on correct updates. CSTA: E4‑ALG‑AF‑01, E4‑PRO‑DH‑02._","E4‑ALG‑AF‑01, E4‑PRO‑DH‑02",2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G4.10,G4,Trace a multi‑step algorithm with loops and variables,"Students trace code with a loop and variable updates to find final values or positions. _Implementation note: Code‑reading + MCQ. CSTA: E4‑ALG‑AF‑01, E4‑ALG‑PS‑03._","E4‑ALG‑AF‑01, E4‑ALG‑PS‑03",2,0,2,* T07.G3.01: Use a counted repeat loop | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G4.11,G4,Debug an off‑by‑one counting bug,"Students fix a counter that ends too high or too low by adjusting initialization or loop bounds. _Implementation note: Coding edits; auto‑graded with multiple tests. CSTA: E4‑ALG‑AF‑01, E4‑PRO‑TR‑03._","E4‑ALG‑AF‑01, E4‑PRO‑TR‑03",2,0,2,* T07.G3.01: Use a counted repeat loop | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G4.12,G4,Explain why one algorithm solution is better than another,"Students compare two working algorithms that achieve the same goal and explain which is better based on provided criteria: (a) fewer steps/shorter, (b) easier to understand/clearer, or (c) uses better structures like loops. _Implementation note: MCQ for selecting best algorithm + choosing explanation from provided reasons addressing clarity, efficiency, or structure. CSTA: E4‑ALG‑IM‑04._",E4‑ALG‑IM‑04,0,0,0,
T01.G5.01,G5,Match a word description to a flowchart,"Students match everyday‑language descriptions of algorithms to flowcharts, applying the flowchart symbols and reading skills introduced in T02 (Grades 3–4) to real‑world tasks. _Implementation note: MCQ matching, using familiar contexts (games, classroom routines). CSTA: E5‑ALG‑AF‑01._",E5‑ALG‑AF‑01,1,0,1,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence
T01.G5.02.01,G5,Convert a simple flowchart into code,"Students implement a simple flowchart (5–7 steps with 1–2 decision diamonds and 0–1 loop structures) as block‑based code for a small CreatiCode project. Focus on mapping flowchart symbols (rectangles → action blocks, diamonds → if/then, loop connectors → repeat) to code constructs. _Implementation note: Coding task; auto‑graded on behavior matching flowchart logic and basic structural correspondence between shapes and blocks. Project examples: simple game turn, animated sequence with choices. CSTA: E5‑ALG‑AF‑01, E5‑PRO‑PF‑01._","E5‑ALG‑AF‑01, E5‑PRO‑PF‑01",3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T08.G3.01: Use a simple if in a script
T01.G5.02.02,G5,Convert simple pseudocode into code,"Students implement simple pseudocode (structured text with REPEAT, IF/THEN, SET variable) as block‑based code for a small CreatiCode project. Pseudocode uses conventions introduced in T02 (structured English with keywords in caps). Focus on translating text descriptions of actions into equivalent block commands. _Implementation note: Coding task; auto‑graded on behavior and correspondence to pseudocode intent. Project examples: score tracker, animated routine with conditions. CSTA: E5‑ALG‑AF‑01, E5‑PRO‑PF‑01._","E5‑ALG‑AF‑01, E5‑PRO‑PF‑01",4,0,4,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T08.G3.01: Use a simple if in a script | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G5.03,G5,Convert a short program into pseudocode,"Students rewrite a short program as structured pseudocode showing loops, if/then, and variables, using the pseudocode conventions introduced in T02 and focusing on clarity for a human reader who is thinking about the real task. _Implementation note: Guided pseudocode; rubric/auto‑grading focused on structure and faithfulness to behavior. CSTA: E5‑ALG‑AF‑01, E5‑ALG‑PS‑03._","E5‑ALG‑AF‑01, E5‑ALG‑PS‑03",4,0,4,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T08.G3.01: Use a simple if in a script | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G5.04,G5,Trace a search algorithm using loops and variables,"Students trace a simple ""find the largest"" or ""count matches"" algorithm and track how a variable changes. _Implementation note: Tracing table; auto‑graded. CSTA: E5‑ALG‑PS‑03, E5‑PRO‑DH‑02._","E5‑ALG‑PS‑03, E5‑PRO‑DH‑02",3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G5.05,G5,Determine whether an algorithm is correct for all inputs,"Students apply test cases to decide if an algorithm always gives the right answer. _Implementation note: Choose ""always works"" vs ""fails sometimes"" with evidence. CSTA: E5‑ALG‑PS‑03._",E5‑ALG‑PS‑03,2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T08.G3.01: Use a simple if in a script
T01.G5.06,G5,Compare two algorithms for step counts (efficiency),"Students estimate or count loop iterations and compare efficiency. _Implementation note: Tables + MCQ; auto‑graded. CSTA: E5‑ALG‑PS‑03, E5‑ALG‑IM‑04._","E5‑ALG‑PS‑03, E5‑ALG‑IM‑04",3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G5.07,G5,Debug an algorithm that mis‑handles a simple edge case,"Students fix a bug where an algorithm fails on empty input or a special case. _Implementation note: Coding edits; auto‑graded tests. CSTA: E5‑ALG‑PS‑03, E5‑PRO‑TR‑03._","E5‑ALG‑PS‑03, E5‑PRO‑TR‑03",2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T08.G3.01: Use a simple if in a script
T01.G5.08,G5,Add checks to handle edge cases,Students extend an algorithm to include extra if/then checks for invalid or special inputs. _Implementation note: Coding; test both regular and edge cases. CSTA: E5‑ALG‑PS‑03._,E5‑ALG‑PS‑03,2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T08.G3.01: Use a simple if in a script
T01.G5.09,G5,Explain why an algorithm is correct using loops and variables,"Students explain why a loop + variable algorithm (e.g., max, count) is guaranteed to work. _Implementation note: Structured explanation; auto‑graded patterns. CSTA: E5‑ALG‑PS‑03._",E5‑ALG‑PS‑03,3,0,3,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop | * T09.G3.01.04: Display variable value on stage using the variable monitor
T01.G5.10,G5,Rewrite a long algorithm using loops or helper steps,"Students reduce a long algorithm to a shorter one using loops or helper steps without changing behavior. _Implementation note: Pseudocode/code refactor; rubric/auto‑graded. CSTA: E5‑ALG‑AF‑01, E5‑ALG‑PS‑03._","E5‑ALG‑AF‑01, E5‑ALG‑PS‑03",2,0,2,* T06.G3.01: Build a green‑flag script that runs a 3–5 block sequence | * T07.G3.01: Use a counted repeat loop
T01.G6.01,G6,Compare efficiency of linear and binary search,"Students qualitatively compare linear and binary search on small lists, identifying that binary search typically uses fewer comparisons by eliminating half the remaining options with each step. (Focus on *why* binary is faster, not exact counts.) _Implementation note: Table; auto‑graded. CSTA: MS‑ALG‑AF‑02._",MS‑ALG‑AF‑02,1,0,1,* T04.G2.01: Identify the repeating unit in a longer pattern
T01.G6.02,G6,Compare how step counts grow with input size,"Students interpret tables/graphs to see which algorithm scales better. _Implementation note: MCQ + explanation. CSTA: MS‑ALG‑AF‑02, MS‑ALG‑PS‑05._","MS‑ALG‑AF‑02, MS‑ALG‑PS‑05",0,0,0,
